date,source,title,url,region,consumer_segment,sentiment_score,engagement_score,topic
2026-04-16,Perfect Daily Grind,Portable electric coffee equipment is changing how people brew on the go,https://perfectdailygrind.com/2026/04/portable-coffee-equipment-changing-on-the-go-brewing/,APAC Regional,Quality Focused,0.125,39,General Discussion
2026-04-16,Barista Magazine Online,How to Liven Up Café Drinks Without Relying on Sweeteners,https://www.baristamagazine.com/how-to-liven-up-cafe-drinks-without-relying-on-sweeteners/?utm_source=rss&utm_medium=rss&utm_campaign=how-to-liven-up-cafe-drinks-without-relying-on-sweeteners,APAC Regional,Social Drinkers,0.496,70,General Discussion
2026-04-15,Sprudge Coffee,What If We Used Coffee To Make Eco-Friendly Insulation?,https://sprudge.com/what-if-we-used-coffee-to-make-eco-friendly-insulation-905262.html,APAC Regional,General Consumer,0.7,22,Sustainability
2026-04-15,Sprudge Coffee,Nominations Continue For The Sprudge Twenty Class Of 2026,https://sprudge.com/nominations-continue-for-the-sprudge-twenty-class-of-2026-908217.html,APAC Regional,General Consumer,0.0,22,General Discussion
2026-04-15,Sprudge Coffee,Rocket Espresso Announces New R58 Tune Dual-Boiler Espresso Machine,https://sprudge.com/rocket-espresso-announces-new-r58-tune-dual-boiler-espresso-machine-910984.html,APAC Regional,Quality Focused,0.318,26,New Openings
2026-04-15,Barista Magazine Online,A Conversation With Margaret Nyamumbo—How Kahawa 1893 is Empowering Women in East Africa,https://www.baristamagazine.com/a-conversation-with-margaret-nyamumbo-how-kahawa-1893-is-empowering-women-in-east-africa/?utm_source=rss&utm_medium=rss&utm_campaign=a-conversation-with-margaret-nyamumbo-how-kahawa-1893-is-empowering-women-in-east-africa,APAC Regional,Convenience Seekers,0.125,82,General Discussion
2026-04-15,Perfect Daily Grind,Beyond the espresso martini: How can coffee shops serve cocktails?,https://perfectdailygrind.com/2026/04/how-can-coffee-shops-serve-cocktails/,APAC Regional,Convenience Seekers,0.148,62,General Discussion
2026-04-14,Perfect Daily Grind,Hospitality now comes first in coffee – and there’s a lot to learn from competitions,https://perfectdailygrind.com/2026/04/what-coffee-competitions-teach-baristas-about-hospitality/,APAC Regional,Habitual Consumers,0.328,69,Local Competition
2026-04-14,Google News,Kopi Kenangan hingga DANA Masuk Daftar Startup Kinerja Unggul Versi Endeavor - Katadata.co.id,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQaU1DeDN0RW9LZVFFRDZqQ3JzVWRxci02Sm8xR3N0bDg3NGlpdy12aGtmUUxoUkVsbWJzN1VaMmloVFhqLTJBdnB5OGVKWVBSTGpsOEVTcnN1dzdySWVTUThFZFlLa3c5UjJTMmhWYzhtSE1NMHlubzg1ZWpoSWJwYVpxaHVGd2EtRTFhUGlOZjBBQk5fQkdja2RKajFHeTRiZTktQm53djJaQkxfU1BrY3kzcGlPMHNLTDdRYm5CSUNmUkU4cmJvLdIBzgFBVV95cUxOdTJ6bGttUDlkVFJ6ejdiZTEtSnNnVjZQV2Zia1BVX2hSdXdDVkJybkdUclJnd0xNN0dZWjZBcTlpQ1VtRGpiYkl2ZWxJN0pIWWxlYWlPU2ptajl2Q0lDcVFCUTFPQVpvM0lQN28yQTR0UklRcDQ5NjJ3V19TbU5LNU5sN3JUTDNsVFBrNzk2elFRMEtlNkEwREpsaFdXUU1XenV1VE5nLS1UNXItemhYMnQtcDNjMG9nX3JMUkdrbm1WaUhDdVB1azh1eXhtQQ?oc=5,Malaysia,Brand Loyal,0.0,50,General Discussion
2026-04-14,Sprudge Coffee,The Equity Entity Known As “Philz Coffee” Just Removed Their Pride Flags,https://sprudge.com/the-equity-entity-known-as-philz-coffee-just-removed-their-pride-flags-904725.html,APAC Regional,Price Sensitive,0.5,22,General Discussion
2026-04-14,Barista Magazine Online,"World of Coffee San Diego, Part Two: Favorite Moments from the Show Floor",https://www.baristamagazine.com/world-of-coffee-san-diego-part-two-favorite-moments-from-the-show-floor/?utm_source=rss&utm_medium=rss&utm_campaign=world-of-coffee-san-diego-part-two-favorite-moments-from-the-show-floor,APAC Regional,Convenience Seekers,0.239,72,General Discussion
2026-04-14,Sprudge Coffee,The First Sip! 2026 Convenes Coffee Industry Leaders In San Diego To Highlight Equity & Community,https://sprudge.com/the-first-sip-2026-convenes-coffee-industry-leaders-in-san-diego-to-highlight-equity-community-908244.html,APAC Regional,General Consumer,0.312,27,Market Trends
2026-04-13,Sprudge Coffee,Bala Of Taiwan Is The 2026 World Latte Art Champion,https://sprudge.com/bala-of-taiwan-is-the-2026-world-latte-art-champion-893676.html,APAC Regional,Quality Focused,0.0,24,General Discussion
